01;491135
02;537926
03;352441
04;135216
05;116689
06;998779
07;280897
08;294260
09;136613
10;291968
11;302569
12;267025
13;1794222
14;631182
15;155574
16;341750
17;538260
18;319294
19;235827
2A;119677
2B;137300
21;500929
22;536793
23;127959
24;387114
25;492812
26;424626
27;528991
28;405293
29;840565
30;602896
31;979110
32;173194
33;1249226
34;839568
35;826097
36;234577
37;540563
38;1051932
39;250294
40;318630
41;310472
42;742659
43;206508
44;1087854
45;600195
46;157694
47;304044
48;72932
49;717037
50;479779
51;563357
52;199891
53;280569
54;716518
55;195478
56;627128
57;1017589
58;230146
59;2544978
60;751362
61;294376
62;1436805
63;599492
64;586794
65;223834
66;374854
67;987370
68;688363
69;1546144
70;228548
71;555171
72;520465
73;360303
74;600584
75;2129856
76;1236774
77;1146990
78;1340268
79;345181
80;551159
81;342309
82;203854
83;856303
84;482383
85;522513
86;388170
87;354744
88;384282
89;328907
90;136140
91;1122103
92;1399157
93;1389787
94;1222214
95;1082848
971;364140
972;365554
973;130282
974;645093
