01;581355
02;538790
03;342807
04;157965
05;134205
06;1084428
07;311452
08;284197
09;150201
10;301327
11;349237
12;275889
13;1966005
14;678206
15;148737
16;351581
17;611714
18;313251
19;242896
2A;140953
2B;162013
21;521608
22;581570
23;123907
24;409388
25;522685
26;478069
27;577087
28;423559
29;890509
30;694323
31;1217344
32;185266
33;1421276
34;1019798
35;967588
36;232004
37;585406
38;1188660
39;260740
40;373142
41;326599
42;742076
43;221834
44;1255871
45;650769
46;172796
47;326399
48;76973
49;774823
50;496937
51;566010
52;186470
53;302983
54;729768
55;194218
56;710034
57;1042230
58;220653
59;2564959
60;799725
61;292282
62;1459531
63;628485
64;647420
65;229079
66;441387
67;1091015
68;746072
69;1690498
70;238548
71;553968
72;559587
73;408842
74;716277
75;2211297
76;1248580
77;1303702
78;1406053
79;365059
80;568086
81;371738
82;235915
83;1001408
84;538902
85;616906
86;424354
87;373940
88;380145
89;342359
90;141958
91;1205850
92;1549619
93;1506466
94;1310876
95;1165397
971;401784
972;397693
973;219266
974;808250
