01;543136
02;536651
03;344005
04;147970
05;126721
06;1044429
07;296960
08;287820
09;142043
10;296294
11;326491
12;269114
13;1891344
14;661498
15;150118
16;343894
17;579877
18;314781
19;236805
2A;128098
2B;150929
21;512591
22;557831
23;123797
24;396905
25;508532
26;454702
27;555822
28;415032
29;869205
30;655892
31;1122778
32;177185
33;1345768
34;952865
35;910367
36;232155
37;568765
38;1135080
39;254691
40;346620
41;320536
42;735780
43;214595
44;1189157
45;633019
46;165493
47;314421
48;75314
49;751708
50;488260
51;565830
52;190907
53;293122
54;720638
55;193321
56;671846
57;1031421
58;223605
59;2559871
60;781462
61;293158
62;1448757
63;614688
64;620208
65;225411
66;413956
67;1055890
68;723685
69;1628151
70;233209
71;547532
72;543037
73;389544
74;667160
75;2154521
76;1242102
77;1237515
78;1377260
79;352970
80;560966
81;355243
82;217292
83;946272
84;518320
85;570651
86;409731
87;360749
88;380639
89;337029
90;139550
91;1169540
92;1488605
93;1442929
94;1266690
95;1133014
971;394881
972;391676
973;184792
974;750840
