01;504201
02;537751
03;348200
04;138373
05;119433
06;1002360
07;283811
08;292175
09;136544
10;292712
11;305604
12;265027
13;1815271
14;641868
15;152740
16;340431
17;547041
18;316121
19;233767
2A;118712
2B;140385
21;505716
22;539324
23;125856
24;387393
25;497719
26;432251
27;537186
28;407793
29;847075
30;612981
31;1016846
32;172401
33;1270159
34;872270
35;848726
36;232829
37;549262
38;1076887
39;250659
40;323150
41;313660
42;735287
43;207555
44;1114088
45;612369
46;159074
47;304591
48;73219
49;727143
50;480858
51;565798
52;197242
53;283126
54;716448
55;194338
56;635229
57;1022509
58;227623
59;2553508
60;763991
61;293414
62;1441027
63;601736
64;591529
65;223109
66;385113
67;1009849
68;700930
69;1561309
70;229186
71;549365
72;526451
73;366909
74;619963
75;2110869
76;1239146
77;1176289
78;1353180
79;344760
80;553670
81;342116
82;205208
83;882587
84;492980
85;531497
86;395846
87;354424
88;382949
89;331697
90;137155
91;1131514
92;1412292
93;1388804
94;1222429
95;1100050
971;376164
972;373873
973;144937
974;680185
