day;mean;standard_deviation;dematerialized_deaths;total_deaths
61;4.2712440938364615;1.7778454837301934;2.9318020949820114;3.350630965693727
62;3.9150187202374855;1.138923596974267;3.769459836405443;3.9788742717613013
63;3.827058367026572;1.4660537614003488;2.9318020949820114;3.5600454010495852
64;3.750670043223374;3.069027613364659;3.9788742717613013;4.397703142473017
65;4.16578133112589;2.340657771701101;3.350630965693727;3.350630965693727
66;3.9045081258071512;2.4784037471279157;2.722387659626153;3.141216530337869
67;3.6041326408489893;1.7050423358042184;2.9318020949820114;3.350630965693727
68;3.8492501656780003;1.4596078178624252;1.8847299182027215;2.0941443535585793
69;4.057973383992253;1.221587239630732;4.397703142473017;4.816532013184733
70;3.673255387855363;1.5302254744901158;2.9318020949820114;3.5600454010495852
71;3.7729287986689064;1.5596725154847844;3.769459836405443;4.607117577828875
72;3.563473911898736;1.83321846729946;2.5129732242702953;2.722387659626153
73;3.258992484906314;0.936681937205906;2.3035587889144375;2.5129732242702953
74;3.6695213111415717;2.0991015762735277;1.8847299182027215;1.8847299182027215
75;3.4417399996223863;0.8894955060694059;2.5129732242702953;2.5129732242702953
76;3.8258554786036623;1.3972679899921416;2.722387659626153;2.9318020949820114
77;3.47170921648052;1.5218754343445933;2.0941443535585793;0.0
78;3.45808298319271;1.1480064063799174;3.350630965693727;0.0
79;3.5451207185643545;1.346093822062404;2.3035587889144375;0.0
80;3.513057945031233;0.9282542331588882;1.2564866121351477;0.0
81;3.389942356351705;1.1095053582190881;0.0;0.0
82;3.3115474687330595;0.8734931111887853;0.0;0.0
83;3.3411301432012657;0.9627060199173483;0.0;0.0
84;3.118602186568564;0.9426036802860182;0.0;0.0
85;2.985823767433295;0.8275851620476332;0.0;0.0
86;3.0925598403511065;0.9772751400596431;0.0;0.0
87;3.427320011406899;0.845794871254449;0.0;0.0
88;2.8641523500063273;0.8817345961587061;0.0;0.0
89;2.9257923148632496;1.0850281424377046;0.0;0.0
90;3.5328722022862324;0.7149360712769874;0.0;0.0
