day;mean;standard_deviation;dematerialized_deaths_2020;total_deaths_2020
61;2.809665618963059;1.1189892425530055;1.6681865699859872;2.2242487599813163
62;2.5315126884591375;0.8150034223289087;2.7803109499766454;3.151019076640198
63;2.46157457377281;0.794037375273017;2.03889469664954;2.594956886644869
64;2.9247575509104093;0.8423405333948298;1.482832506654211;2.03889469664954
65;2.9800189680717066;1.2655542385610516;2.594956886644869;2.965665013308422
66;2.8879329908337246;0.7017300931940854;3.3363731399719745;3.707081266635527
67;2.6521446631350987;0.9150773593409055;1.2974784433224344;1.8535406333177635
68;2.8636141767069705;0.8642290103763735;1.482832506654211;1.482832506654211
69;2.689703918406731;0.7709050754999346;2.03889469664954;2.594956886644869
70;2.735540012272187;0.8464487557176605;2.409602823313093;2.965665013308422
71;2.7501377169725556;0.7542757121648602;2.594956886644869;2.594956886644869
72;2.795707816945562;1.1067460721157512;3.151019076640198;3.8924353299673036
73;2.6215941323055048;0.9397220075336364;2.409602823313093;2.7803109499766454
74;2.7433362140423565;0.7588462062878755;1.482832506654211;1.8535406333177635
75;2.563119764403317;0.779422222433502;2.965665013308422;2.965665013308422
76;2.8619117427208005;0.812393921744647;2.7803109499766454;2.965665013308422
77;2.554322778811006;1.3444487923996535;2.7803109499766454;0.0
78;2.528900448912637;0.7004275381137921;2.2242487599813163;0.0
79;2.7022899626280177;0.8771308616790705;3.151019076640198;0.0
80;2.566793871443524;0.9952898334785214;4.263143456630856;0.0
81;2.7079170001517183;0.9041806267313515;0.0;0.0
82;2.668778410143738;0.8343262503151468;0.0;0.0
83;2.596060576489291;1.0519651368291143;0.0;0.0
84;2.6046857193490984;0.8347184743607132;0.0;0.0
85;2.8126475802155007;0.8850573908232607;0.0;0.0
86;2.5914228907218764;0.6681518968881319;0.0;0.0
87;2.6108061569640046;0.6421473858880411;0.0;0.0
88;2.7075154437834645;1.3581672427669418;0.0;0.0
89;2.647146864940747;1.386474995928955;0.0;0.0
90;2.4812423390934915;0.8792580187561947;0.0;0.0
