POPULATION_2019;562220
day;mean;standard_deviation
1;2.90774843294814;0.8152700198217337
2;3.3742866144350607;0.9009012186078956
3;3.112103632936051;0.9158981567510793
4;3.119399526017127;0.8209008574028657
5;3.2551046779285304;1.0030050367441665
6;3.252170361916045;0.8538538988673735
7;3.2116626837912174;0.7945251907427555
8;3.3954630462257835;0.7990953124377165
9;3.0491133654541023;0.9894590958848382
10;3.326704721715954;0.5717404159031562
11;3.183438996614242;1.0923706779463016
12;3.176155963069511;0.6979536336253106
13;2.9233817034827223;1.0887605897157584
14;2.9742182726996007;0.6208259814019822
15;2.800551376628915;0.7172380606465205
16;2.6662139920932413;0.8199519968823006
17;3.284228333023886;0.8028922113121604
18;3.232938642957252;0.7167319149736052
19;3.0408639239279758;0.720045734532499
20;3.117005010506539;0.8975897017704342
21;2.860470769346139;0.8324184386116728
22;3.104772991132192;0.7589673416765155
23;3.0039393327141317;0.9300532256727052
24;2.8680335251452305;0.8348703159938272
25;2.9707791740777383;1.0317268535738082
26;2.972011594838595;0.6656058650345883
27;2.7437473084012627;1.0709683832873311
28;2.862346935642442;0.8700910038981099
29;3.052491994168617;0.7001078172647804
30;3.1422352636481743;0.8682876135078382
31;3.0178175800480584;0.7309405635205103
32;3.0253997626202467;1.070053027259848
33;2.8405214589840337;0.7220912579008759
34;2.7588053576718266;0.7735189582066598
35;2.977294140791275;0.8362508462715871
36;2.8009647378069134;0.6420915838813371
37;2.985658269809386;0.9300768398883927
38;2.8488484566477688;0.7538724881242603
39;3.028662362974423;0.8374600804579544
40;2.962115051242405;0.7762977343346211
41;3.018101974411891;0.8802126142080956
42;2.79713473257862;0.7956467072862501
43;3.0187724310870667;0.959776890777533
44;2.8352597782855353;0.740092819642975
45;2.8416629775906928;0.8676371725762309
46;2.965403850384387;0.8296335292780482
47;2.903979183755749;0.7407096946792932
48;2.972490989677553;0.8283315700973037
49;2.78152134942781;0.7040006146928741
50;2.785868870524394;0.7766265406009759
51;2.8229121941337265;0.6983846766842359
52;2.844322601722414;0.6833616458897512
53;3.2334115190302173;0.9172385535862452
54;2.7364322214322976;0.9183442259000685
55;3.0286308154310166;0.4555503122865467
56;2.8145369727261795;0.7941760988538892
57;2.778256736733855;0.6862300729011365
58;2.6812225965560565;0.6691534646453688
59;2.8233773200950423;0.7012494451609046
60;2.8139780728448276;0.8194703590144858
61;2.874271995578694;0.9422021959897072
62;2.968528226261278;0.6885869009838677
63;3.1930445366695626;0.7973728155524389
64;2.7819971720599126;0.661699750349433
65;2.9899048954291616;0.8089287641092628
66;3.149831568230128;0.8240594537582567
67;2.8309351548584094;0.777703445479578
68;2.7059755449016816;0.7479821015928237
69;2.7631553777478484;0.6867390090784825
70;2.968257687531535;0.8450632119988623
71;2.813483086528295;0.6176502098108545
72;2.923052742006842;0.6340371289732931
73;2.9042959874291494;0.6931348438931825
74;2.7427622247165404;0.8329128455335308
75;2.587606167706773;0.6982565473292087
76;2.726985062898076;0.796837494759155
77;2.8246792578643745;0.8576427680850348
78;3.0984273650022773;0.7380029580261962
79;2.771439250353436;0.8890936429182769
80;2.7683101773554273;0.8510471264387706
81;2.808829496837655;0.6327279039434861
82;2.871839320562271;0.6812652891822975
83;2.842844367608401;1.0026130437540686
84;2.909975572611129;0.9355847634107616
85;2.790295831874276;0.7353729774599009
86;2.6370274410674064;0.8397318116815786
87;2.8140003707565713;0.8219662464304911
88;2.7781586429499447;0.6526254335283186
89;2.5373805229480744;0.7312181308062075
90;2.8974305405566865;0.726734672898876
91;2.665977865743041;0.6559888435264702
92;3.066736345122321;0.7973492726062575
93;2.860145518482278;0.7679428820805059
94;2.872117244306865;0.7446736236749278
95;2.681220200136728;0.7105105727069535
96;2.5505022385515543;0.6902415623134632
97;2.80199612257206;1.1750695712127879
98;2.7261927050222288;1.363726620148001
99;2.793837535100159;0.9868224671331555
100;2.961423770042897;0.6415582517181688
101;2.763113079771275;0.9968000094051984
102;2.8457352880037625;0.8951643440125175
103;2.6893894594105814;0.8409652142656197
104;2.740683412941196;0.7126515140973866
105;2.8226754597087798;0.717262975702441
106;2.6294893019819137;0.7824329946903399
107;2.6936857931962948;0.6765306632847181
108;2.408178767810299;0.6492622783038471
109;2.634393746532234;0.7812113452875686
110;2.6407208837899905;0.6556989120721038
111;2.582957323332918;0.6550570545537482
112;2.7829458347434;0.7415944416545175
113;2.74982709197228;0.7682588201432815
114;2.6260887285735124;0.718110260228821
115;2.766925909376078;0.6725206253212109
116;2.60760542903865;0.7219316652740796
117;2.5362682701213455;0.67355332859422
118;2.4845793820658786;0.7365124837619239
119;2.54437064458955;0.7463690058537599
120;2.4366229953399317;0.6731401965347799
121;2.4920314198814966;0.6103258006246961
122;2.7446472756521536;0.7395606785084189
123;2.6061238163064875;0.736045236162851
124;2.399600757136856;0.7460207413181401
125;2.649303879590392;0.6153753106197359
126;2.5366084735235592;0.6743534967022794
127;2.433309051762047;0.7582843084602595
128;2.4289678750267036;0.6449080384972314
129;2.4307751470897525;0.7859446807349424
130;2.532531438228883;0.6530826701276573
131;2.6759236413992853;0.852085144206688
132;2.5273493933068885;0.5974643669933543
133;2.470785369227508;0.6723972152565533
134;2.548451389377712;0.5954900614907784
135;2.420521646231783;0.6741826334488558
136;2.4893050412528406;0.6634640296814127
137;2.4507107720703614;0.6713467093751073
138;2.497579550378849;0.7682094700918615
139;2.545492106550683;0.9540567885517642
140;2.482254254057846;0.7137822313043727
141;2.519473659820468;0.7807203790339812
142;2.53680558201458;0.8058835251427194
143;2.3978640657018007;0.6522041159561419
