day;mean;standard_deviation;dematerialized_deaths;total_deaths
61;3.782807781376243;1.445988288359702;2.5454360331924857;2.9090697522199838
62;3.2295702553637966;1.0117312836573706;2.5454360331924857;2.9090697522199838
63;3.7203854756807506;0.9325881785154073;2.5454360331924857;3.272703471247482
64;3.2660391189773144;0.9494576743972047;3.090886611733733;3.272703471247482
65;2.9153484282646565;0.7789057777085812;3.090886611733733;3.090886611733733
66;3.1834994667303556;0.8902063046883135;3.090886611733733;3.818154049788729
67;3.178198346113571;0.8783167619929155;3.63633719027498;3.818154049788729
68;3.5564471948943766;1.5154785735891565;3.090886611733733;3.63633719027498
69;3.5270437353383652;0.8105096923409549;3.454520330761231;3.999970909302478
70;3.4123794654593644;1.0956049714181244;1.999985454651239;2.181802314164988
71;3.3032588355754005;1.6679953486959906;2.7272528927062347;3.090886611733733
72;3.1922708786137344;1.050346553291689;3.454520330761231;3.63633719027498
73;3.1857799356874357;0.9138501533892726;4.181787768816227;4.363604628329976
74;3.4183450673537874;1.482548000027265;2.363619173678737;2.363619173678737
75;3.1441872578797643;1.682693027562035;3.090886611733733;3.090886611733733
76;3.5860465106604935;1.8184274147673511;3.63633719027498;3.63633719027498
77;3.7399127525720512;2.1775764882860744;2.5454360331924857;0.0
78;3.499923964819299;1.5680382675603024;4.181787768816227;0.0
79;3.106694419630193;1.2246105033747585;3.090886611733733;0.0
80;3.3634887653043846;1.392991122258054;3.272703471247482;0.0
81;3.4000780175850798;2.4829030936756826;0.0;0.0
82;3.6808047367951646;1.8254610319242497;0.0;0.0
83;3.5575724676226548;1.3100934843736756;0.0;0.0
84;3.306270461842132;1.1080428170267378;0.0;0.0
85;3.0624802859903997;0.979853148139674;0.0;0.0
86;3.3180202154656295;1.386345881097711;0.0;0.0
87;2.7792809055284784;0.697060292676576;0.0;0.0
88;3.071837074219351;1.4194703655444243;0.0;0.0
89;3.2451319141579558;1.2970037576408044;0.0;0.0
90;3.0279973674942435;1.3543098505427469;0.0;0.0
