2;18941022;19701026;61
1;19000722;19701128;77
1;19490309;19700925;69
1;19280219;19701201;69
2;19010708;19701101;70
1;19100724;19700930;69
1;19110102;19701219;69
2;18921214;19701123;54
2;18990531;19701226;31
1;18910127;19701231;71
2;18930916;19701211;06
2;19081019;19701212;69
2;18930817;19701213;75
1;18990106;19701124;75
2;18980225;19701216;69
1;18991228;19701119;12
1;19660315;19701022;01
2;19690509;19700127;71
2;19700525;19701028;69
2;19510102;19700106;69
1;19541015;19700320;01
1;19560406;19700923;69
2;19680801;19700904;69
2;19701129;19701129;01
1;19550204;19700616;01
1;19471026;19701230;74
1;19080430;19701105;71
1;19100123;19701117;39
1;19100327;19701212;69
2;18940609;19701219;69
1;18951122;19701226;69
1;19510824;19701130;01
1;19460408;19701011;02
2;19470718;19700728;80
1;19460523;19701209;02
1;19630310;19700522;75
2;19700513;19700516;02
1;19491101;19701213;65
2;19470828;19700609;60
2;19460308;19700220;92
2;19510329;19700706;02
1;19700912;19700915;02
1;19590502;19701206;02
1;19380210;19700428;51
1;19650301;19700316;02
1;19510731;19700614;77
1;19490916;19700421;51
2;19460717;19700322;02
1;19490121;19700801;51
1;19511108;19701017;02
2;19510424;19701008;51
1;19460701;19700923;02
2;19671011;19700608;02
2;19700211;19700412;02
1;19470731;19700724;92
1;19480519;19700614;02
2;19481229;19700202;02
1;19510228;19700713;27
1;19510326;19701212;77
2;19530103;19701026;57
2;19670226;19700315;02
2;19680531;19700523;02
2;19690627;19700124;02
2;19690716;19700226;02
2;19691113;19700120;02
1;19691230;19700416;02
1;19700110;19700110;02
1;19700110;19700110;02
1;19700126;19700127;51
2;19700214;19700402;02
1;19700217;19700218;02
1;19701009;19701010;02
1;19470521;19700926;94
1;19490702;19700601;02
1;19700202;19700204;02
1;19700530;19700601;02
1;19700602;19700604;02
1;19700608;19700613;02
2;19701005;19701230;02
2;19700331;19700403;02
1;19700109;19700111;02
1;19511031;19701103;01
1;19480516;19700304;83
2;19600917;19700519;02
2;19480716;19700818;02
2;19520620;19700402;51
1;19691130;19700227;02
1;19511120;19701219;02
2;18930103;19700602;02
2;19540312;19701011;02
2;19510620;19701117;60
2;19460318;19700922;02
1;19480326;19700730;51
1;19520819;19700608;92
2;19490130;19700112;59
1;19520823;19700606;02
2;19701113;19701223;02
1;19460606;19700925;75
1;19600423;19700418;02
1;19510208;19700105;02
1;19630630;19700325;68
1;19681018;19701121;02
1;19691229;19700125;02
1;19700621;19700621;02
1;19700703;19700724;02
2;19700802;19701224;02
2;19700819;19701218;02
2;19701029;19701120;02
1;19700817;19700819;02
1;19540619;19701023;02
